DocumentId,PartnerId,DocumentDate,City,Sales
760429,161,1/20/2022,BUCURESTI SECTORUL 6,565
760430,1023,1/20/2022,ODORHEIU SECUIESC,868
760434,442,1/20/2022,TURDA,232
760437,1058,1/20/2022,ODORHEIU SECUIESC,436
760439,524,1/20/2022,PIATRA NEAMT,"1,914"
760441,524,1/20/2022,PIATRA NEAMT,208
760444,11153,1/20/2022,TARGU MURES,246
760453,5872,1/20/2022,CLUJ NAPOCA,445
760456,5866,1/20/2022,CLUJ NAPOCA,58
760476,5866,1/20/2022,CLUJ NAPOCA,479
760480,324,1/20/2022,ODORHEIU SECUIESC,208
760484,12136,1/20/2022,TARGU SECUIESC,75
760486,11331,1/20/2022,MIERCUREA CIUC,361
760488,124,1/20/2022,BRASOV,188
760491,316,1/20/2022,TIMISOARA,253
760499,689,1/20/2022,TIMISOARA,770
760505,11966,1/20/2022,BACAU,267
760507,10769,1/20/2022,IASI,323
760509,316,1/20/2022,TIMISOARA,27
760511,11301,1/20/2022,RUPEA,401
760513,11877,1/20/2022,BUCURESTI SECTORUL 6,230
760521,7215,1/20/2022,BAIA SPRIE,387
760527,316,1/20/2022,TIMISOARA,223
760541,6557,1/20/2022,DUMBRAVITA,526
760546,161,1/20/2022,BUCURESTI SECTORUL 6,0
760555,11801,1/20/2022,BAILE TUSNAD,966
760565,9879,1/20/2022,BUCURESTI SECTORUL 4,337
760575,6326,1/20/2022,CLUJ NAPOCA,"4,584"
760599,11547,1/20/2022,LIEBLING,232
760645,1073,1/21/2022,BUCURESTI,735
760647,4775,1/21/2022,TIMISOARA,869
760661,697,1/21/2022,CARANSEBES,178
760663,6573,1/21/2022,JIBOU,"1,567"
760665,10590,1/21/2022,FAGARAS,784
760667,7709,1/21/2022,BRASOV,351
760669,8456,1/21/2022,SINAIA,653
760674,6919,1/21/2022,BRASOV,425
760676,161,1/21/2022,BRASOV,158
760678,11349,1/21/2022,MIERCUREA NIRAJULUI,113
760684,10592,1/21/2022,BRASOV,154
760686,1145,1/21/2022,BRASOV,682
760688,7161,1/21/2022,ALBA IULIA,"1,090"
760690,9759,1/21/2022,TURDA,534
760692,162,1/21/2022,SOVATA,781
760694,162,1/21/2022,SOVATA,809
760696,9831,1/21/2022,LETCANI,633
760697,7118,1/21/2022,CLUJ NAPOCA,0
760705,9080,1/21/2022,ZABALA,"1,467"
760711,8269,1/21/2022,TALISOARA,0
760717,6573,1/21/2022,JIBOU,"1,594"
760739,1098,1/21/2022,BUCURESTI SECTORUL 6,966
760747,777,1/21/2022,MANASTURU ROMANESC,182
760750,780,1/21/2022,OTOPENI,168
760758,1387,1/21/2022,CLUJ NAPOCA,116
760761,10996,1/21/2022,SIBIU,246
760762,161,1/21/2022,BUCURESTI SECTORUL 6,0
760769,5056,1/21/2022,TIMISOARA,246
760786,11119,1/21/2022,ARAD,294
760795,5056,1/21/2022,TIMISOARA,124
760797,1387,1/21/2022,CLUJ NAPOCA,"1,297"
760810,8165,1/21/2022,SACELE,90
760813,12085,1/21/2022,MACEA,267
760821,1851,1/21/2022,MIERCUREA CIUC,587
760831,1851,1/21/2022,MIERCUREA CIUC,45
760833,624,1/21/2022,CAREI,415
760864,11999,1/21/2022,GALATI,"2,702"
760866,11999,1/21/2022,GALATI,67
760868,12038,1/21/2022,GALATI,949
760874,6173,1/21/2022,TIMISOARA,636
760876,8663,1/21/2022,CLUJ NAPOCA,727
760878,8028,1/21/2022,CLUJ NAPOCA,674
760881,10835,1/21/2022,TIMISOARA,405
760882,8028,1/21/2022,CLUJ NAPOCA,58
760886,9879,1/21/2022,ROMAN,357
760887,12138,1/21/2022,SFANTU  GHEORGHE,405
760977,10504,1/25/2022,CODLEA,52
760982,9730,1/25/2022,BRASOV,525
760985,11301,1/25/2022,RUPEA,54
760988,5640,1/25/2022,TARGU MURES,184
760992,10691,1/25/2022,TARGU MURES,"1,401"
760995,882,1/25/2022,TARGU-MURES,323
761004,9801,1/25/2022,TARGU MURES,250
761010,1720,1/25/2022,SACALAZ,0
761025,6805,1/25/2022,TARGU MURES,455
761026,564,1/25/2022,TARGU-MURES,494
761028,977,1/25/2022,VARSAG,"1,038"
761030,12083,1/25/2022,MIERCUREA CIUC,"1,445"
761032,486,1/25/2022,SOVATA,145
761035,11292,1/25/2022,MIERCUREA CIUC,415
761036,11352,1/25/2022,IZVORUL MURESULUI,434
761050,864,1/25/2022,MIERCUREA CIUC,449
761052,9226,1/25/2022,SOVATA,394
761055,11513,1/25/2022,SOVATA,"1,438"
761057,10470,1/25/2022,TARGU MURES,250
761059,202,1/25/2022,ODORHEIU SECUIESC,741
761063,882,1/25/2022,TARGU-MURES,431
761076,8456,1/25/2022,SINAIA,"2,103"
761079,5390,1/25/2022,TARGU MURES,323
761081,5394,1/25/2022,SIGHISOARA,330
761083,615,1/25/2022,CORUNCA,204
761100,9690,1/25/2022,TARGU MURES,142
761102,9833,1/25/2022,MIERCUREA CIUC,238
761105,10711,1/25/2022,ARAD,613
761106,9214,1/25/2022,ODORHEIU SECUIESC,69
761109,11399,1/25/2022,SOVATA,"1,288"
761111,9866,1/25/2022,MOSNITA NOUA,802
761116,690,1/25/2022,SOVATA,"1,137"
761118,1809,1/25/2022,BRASOV,134
761120,8655,1/25/2022,MIERCUREA CIUC,"-1,754"
761121,6015,1/25/2022,TARGU MURES,539
761127,8845,1/25/2022,TARGU MURES,323
761129,476,1/25/2022,TARGU-MURES,134
761140,11119,1/25/2022,ARAD,"1,266"
761147,8655,1/25/2022,MIERCUREA CIUC,359
761149,8655,1/25/2022,MIERCUREA CIUC,229
761150,889,1/25/2022,ODORHEIU SECUIESC,"1,755"
761156,1720,1/25/2022,SACALAZ,737
761164,6727,1/25/2022,TARGU SECUIESC,623
761166,6050,1/25/2022,GHEORGHENI,208
